New,Original Value,Level1,Level2,Level3,Level4
quarantines curfews and travel restrictions,quarantines and travel restrictions,quarantines and travel restrictions,quarantines and travel restrictions,quarantines and travel restrictions,quarantines and travel restrictions
,questions were being raised,questions were being raised,questions were being raised,questions were being raised,questions were being raised
,rapid geographic spread of an unclassified disease,rapid geographic spread of an unclassified disease,rapid geographic spread of an unclassified disease,rapid geographic spread of an unclassified disease,rapid geographic spread of an unclassified disease
,rapid increases in the number of sus- pected cases,rapid increases in the number of sus- pected cases,rapid increases in the number of sus- pected cases,rapid increases in the number of sus- pected cases,rapid increases in the number of sus- pected cases
,rapid population migration,rapid population migration,rapid population migration,rapid population migration,rapid population migration
k,rapidly developing needs,rapidly developing needs,rapidly developing needs,rapidly developing needs,rapid population migration
,reasons to stay on guard,reasons to stay on guard,reasons to stay on guard,reasons to stay on guard,reasons to stay on guard
,rebound of private spending offsetting negative impact of pandemic,rebound of private spending offsetting negative impact of pandemic,rebound of private spending offsetting negative impact of pandemic,rebound of private spending offsetting negative impact of pandemic,rebound of private spending offsetting negative impact of pandemic
,recessions,recessions,recessions,recessions,recessions
,recovery in this sector is lagging,recovery in this sector is lagging,recovery in this sector is lagging,recovery in this sector is lagging,recovery in this sector is lagging
economic downturn,decrease in economic activity,decrease in economic activity,reduced economic growth,reduce confidence in the future of the affected economies,reduce confidence in the future of the affected economies
economic downturn,economic downturn,economic downturns,economic downturns,reduce confidence in the future of the affected economies,reduce confidence in the future of the affected economies
economic downturn,economic downturns,economic downturns,economic downturns,reduce confidence in the future of the affected economies,reduce confidence in the future of the affected economies
,reduce confidence in the future of the affected economies,reduce confidence in the future of the affected economies,reduce confidence in the future of the affected economies,reduce confidence in the future of the affected economies,reduce confidence in the future of the affected economies
k,reduced confidence in the affected economies,reduced confidence in the affected economies,reduce confidence in the future of the affected economies,reduce confidence in the future of the affected economies,reduce confidence in the future of the affected economies
economic downturn,reduced economic activity,reduced economic growth,reduced economic growth,reduce confidence in the future of the affected economies,reduce confidence in the future of the affected economies
economic downturn,reduced economic growth,reduced economic growth,reduced economic growth,reduce confidence in the future of the affected economies,reduce confidence in the future of the affected economies
,reduced employee collaboration during remote working,reduced employee collaboration during remote working,reduced employee collaboration during remote working,reduced employee collaboration during remote working,reduced employee productivity during remote working
,reduced employee productivity during remote working,reduced employee productivity during remote working,reduced employee productivity during remote working,reduced employee productivity during remote working,reduced employee productivity during remote working
,reduced employment rates,reduced employment rates,reduced employment rates,reduced employment rates,reduced employment rates
,reduced faith in modern medicine,reduced faith in modern medicine,reduced faith in modern medicine,reduced faith in modern medicine,reduced faith in modern medicine
k,reduced bmis,reduced bmis,reduced bmis,reduced bmis,reduced inflation
,reduced inflation,reduced inflation,reduced inflation,reduced inflation,reduced inflation
reduced demand,declines in demand,declines in demand,fall in demand,reducing demand,reducing demand
reduced demand,fall in demand,fall in demand,fall in demand,reducing demand,reducing demand
k,reduced demand for services,reduced demand for services,reduced demand for services,reduction in service sector growth,reducing demand
k,reduced service exports,reduced service exports,reduced service exports,reduction in service sector growth,reducing demand
reduced demand,reducing demand,reducing demand,reducing demand,reducing demand,reducing demand
reduced demand,reduction in demand,reducing demand,reducing demand,reducing demand,reducing demand
k,reduction in service sector growth,reduction in service sector growth,reduction in service sector growth,reduction in service sector growth,reducing demand
reduced demand,significantly reduced demand,significantly reduced demand,reducing demand,reducing demand,reducing demand
reduced demand,strong demand contraction,strong demand contraction,strong demand contraction,reducing demand,reducing demand
reduced demand,weakening of demand,weakening of demand,fall in demand,reducing demand,reducing demand
,reduction in import demand,reduction in import demand,reduction in import demand,reduction in import demand by asian economies,reduction in import demand by asian economies
,reduction in import demand by asian economies,reduction in import demand by asian economies,reduction in import demand by asian economies,reduction in import demand by asian economies,reduction in import demand by asian economies
k,gradual diminishing of pandemic health impact,gradual diminishing of pandemic health impact,gradual diminishing of pandemic health impact,gradual diminishing of pandemic health impact,reduction in the number of infected
k,reduction in extent of prophylactic absenteeism,reduction in extent of prophylactic absenteeism,reduction in extent of prophylactic absenteeism,reduction in extent of prophylactic absenteeism,reduction in the number of infected
,reduction in the number of infected,reduction in the number of infected,reduction in the number of infected,reduction in the number of infected,reduction in the number of infected
,refugee flows,refugee flows,refugee flows,refugee flows,refugee flows
,reinfections,reinfections,reinfections,reinfections,reinfections
,removal of the subsidy,removal of the subsidy,removal of the subsidy,removal of the subsidy,removal of the subsidy
k,consumer confidence returning after short period of disease outbreak,consumer confidence returning after short period of disease outbreak,consumer confidence returning after short period of disease outbreak,consumer confidence returning after short period of disease outbreak,replenishing of stocks after short period of disease outbreak
,replenishing of stocks after short period of disease outbreak,replenishing of stocks after short period of disease outbreak,replenishing of stocks after short period of disease outbreak,replenishing of stocks after short period of disease outbreak,replenishing of stocks after short period of disease outbreak
,residual risk,residual risk,residual risk,residual risk,residual risk
,resource and labor intensive,resource and labor intensive,resource and labor intensive,resource and labor intensive,resource and labor intensive
k,less cash to spend,less cash to spend,less cash to spend,less cash to spend,resource constraints
,limited resources,limited resources,resource constraints,resource constraints,resource constraints
,resource constraints,resource constraints,resource constraints,resource constraints,resource constraints
,resource-constrained,resource-constrained,resource constraints,resource constraints,resource constraints
,severe resource constraints,severe resource constraints,resource constraints,resource constraints,resource constraints
k,supply constraints due to low liquidity,supply constraints due to low liquidity,supply constraints due to low liquidity,resource constraints,resource constraints
,respondents engaged in self-employment and unpaid work,respondents engaged in self-employment and unpaid work,respondents engaged in self-employment and unpaid work,respondents engaged in self-employment and unpaid work,respondents engaged in self-employment and unpaid work
k,unemployment,unemployment,unemployment,unemployment,respondents engaged in self-employment and unpaid work
,reverse genetic systems,reverse genetic systems,reverse genetic systems,reverse genetic systems,reverse genetic systems
,rheumatoid arthritis,rheumatoid arthritis,rheumatoid arthritis,rheumatoid arthritis,rheumatoid arthritis
,ripples,ripples,ripples,ripples,ripples
,risk of exposure,risk of exposure,risk of exposure,risk of exposure,risk of exposure
,risk transfer mechanisms,risk transfer mechanisms,risk transfer mechanisms,risk transfer mechanisms,risk transfer mechanisms
,rotavirus gastroenteritis,rotavirus gastroenteritis,rotavirus gastroenteritis,rotavirus gastroenteritis,rotavirus gastroenteritis
,rumors,rumours,rumours,rumours,rumours
,rumours,rumours,rumours,rumours,rumours
sars outbreak,sars,sars cases,sars cases,sars cases,sars cases
sars outbreak,sars cases,sars cases,sars cases,sars cases,sars cases
sars outbreak,sars outbreaks,sars outbreaks,sars outbreaks,sars outbreaks,sars cases
sars outbreak,sars-induced,sars-induced,sars-induced,sars outbreaks,sars cases
,sars is difficult to detect,sars is difficult to detect,sars is difficult to detect,sars is difficult to detect,sars is difficult to detect
sars outbreak,sars shock,sars shock,sars shock,sars shock,sars is difficult to detect
,"sars, together with the iraq war","sars, together with the iraq war","sars, together with the iraq war","sars, together with the iraq war","sars, together with the iraq war"
,school closures,school closures,school closures,school closures,school closures
,school closures or illness,school closures or illness,school closures or illness,school closures,school closures
,second-guessing and panic,second-guessing and panic,second-guessing and panic,second-guessing and panic,second-guessing and panic
,selection bias,selection bias,selection bias,selection bias,selection bias
,sensitivity to assumptions,sensitivity to assumptions,sensitivity to assumptions,sensitivity to assumptions,sensitivity to assumptions
,serious disruption to short-term economic growth,serious disruption to short-term economic growth,serious disruption to short-term economic growth,serious disruption to short-term economic growth,serious disruption to short-term economic growth
,seroprevalence,seroprevalence,seroprevalence,seroprevalence,seroprevalence
,several different national recommendations,several different national recommendations,several different national recommendations,several different national recommendations,several different national recommendations
,severe hit to services requiring face to face contact,severe hit to services requiring face to face contact,severe hit to services requiring face to face contact,severe hit to services requiring face to face contact,severe hit to services requiring face to face contact
,severity of outbreak,severity of outbreak,severity of outbreak,severity of outbreak,severity of outbreak
,shifting the workforce from an on-premise model to a remote model,shifting the workforce from an on-premise model to a remote model,shifting the workforce from an on-premise model to a remote model,shifting the workforce from an on-premise model to a remote model,shifting the workforce from an on-premise model to a remote model
,shocks through our global economic systems,shocks through our global economic systems,shocks through our global economic systems,shocks through our global economic systems,shocks through our global economic systems
,short-term impacts,short-term impacts,short-term impacts,short-term impacts,short-term impacts
k,shortterm fiscal shocks,shortterm fiscal shocks,shortterm fiscal shocks,shortterm fiscal shocks,short-term impacts
shutdowns and mandatory closures,mandatory closures,mandatory closures,mandatory closures,mandatory closures,shutdown
shutdowns and mandatory closures,shutdown,shutdown,shutdown,shutdown,shutdown
,sick leave,sick leave,sick leave,sick leave,sick leave
,significant decline in the accommodation and food services sector,significant decline in the accommodation and food services sector,significant decline in the accommodation and food services sector,significant decline in the accommodation and food services sector,significant decline in the accommodation and food services sector
,significant increase in bond defaults,significant increase in bond defaults,significant increase in bond defaults,significant increase in bond defaults,significant increase in bond defaults
,significant increase in business loan defaults,significant increase in business loan defaults,significant increase in business loan defaults,significant increase in business loan defaults,significant increase in business loan defaults
,significant technological deficiency in manufacturing vaccines,significant technological deficiency in manufacturing vaccines,significant technological deficiency in manufacturing vaccines,significant technological deficiency in manufacturing vaccines,significant technological deficiency in manufacturing vaccines
,situational awareness,situational awareness,situational awareness,situational awareness,situational awareness
,slowed the containment,slowed the containment,slowed the containment,slowed the containment,slowed the containment
,slower time trends,slower time trends,slower time trends,slower time trends,slower time trends
economic slowdown,economic activity slowed,economic slowdown,economic slowdown,slowing economic recovery,slowing economic recovery
economic slowdown,economic slowdown,economic slowdown,economic slowdown,slowing economic recovery,slowing economic recovery
,slowing economic recovery,slowing economic recovery,slowing economic recovery,slowing economic recovery,slowing economic recovery
k,slowing trade flows,slowing trade flows,slowing trade flows,slowing economic recovery,slowing economic recovery
,smaller laboratories in more rural environments,smaller laboratories in more rural environments,smaller laboratories in more rural environments,smaller laboratories in more rural environments,smaller laboratories in more rural environments
,snow day,snow day,snow day,snow day,snow day
,social avoidance,social avoidance,social avoidance,social avoidance,social avoidance
,social determinants,social determinants,social determinants,social determinants,social determinants
,social disadvantage,social disadvantage,social disadvantage,social disadvantage,social disadvantage
,social disruption and economic costs,social disruption and economic costs,social disruption and economic costs,social disruption and economic costs,social disruption and economic costs
k,social distancing leading to reduced commercial activity,social distancing leading to reduced commercial activity,social distancing leading to reduced commercial activity,social distancing leading to reduced commercial activity,social distancing leading to reduced leisure pursuits
k,social distancing leading to reduced leisure pursuits,social distancing leading to reduced leisure pursuits,social distancing leading to reduced leisure pursuits,social distancing leading to reduced leisure pursuits,social distancing leading to reduced leisure pursuits
k,social distancing leading to reduced travel,social distancing leading to reduced travel,social distancing leading to reduced travel,social distancing leading to reduced leisure pursuits,social distancing leading to reduced leisure pursuits
,social norms and attitudes,social norms and attitudes,social norms and attitudes,social norms and attitudes,social norms and attitudes
,something needs to change,something needs to change,something needs to change,something needs to change,something needs to change
,special circumstances,special circumstances,special circumstances,special circumstances,special circumstances
k,large-scale purchasing,large-scale purchasing,large-scale purchasing,large-scale purchasing,spikes in the purchase of commonly available health remedies
,spikes in the purchase of commonly available health remedies,spikes in the purchase of commonly available health remedies,spikes in the purchase of commonly available health remedies,spikes in the purchase of commonly available health remedies,spikes in the purchase of commonly available health remedies
,spread risk,spread risk,spread risk,spread risk,spread risk
,staff rotations were required,staff rotations were required,staff rotations were required,staff rotations were required,staff rotations were required
,stigma,stigma,stigma,stigma,stigma
,stigma and discrimination,stigma and discrimination,stigma and discrimination,stigma and discrimination,stigma and discrimination
,stigmatization,stigmatization,stigmatization,stigmatization,stigmatization
,stock price decline,stock price decline,stock price decline,stock price decline,stock price decline
,stress,stress,stress,stress,stress
k,strict mandates on domestic travel,strict mandates on domestic travel,strict mandates on domestic travel,strict mandates on domestic travel,strict mandates on international travel
,strict mandates on international travel,strict mandates on international travel,strict mandates on international travel,strict mandates on international travel,strict mandates on international travel
,stronger leadership,stronger leadership,stronger leadership,stronger leadership,stronger leadership
k,antibiotic resistance,antibiotic resistance,antibiotic resistance,antibiotic resistance,subsequent immunity to the virus
,subsequent immunity to the virus,subsequent immunity to the virus,subsequent immunity to the virus,subsequent immunity to the virus,subsequent immunity to the virus
k,negative health and economic externalities,negative health and economic externalities,negative health and economic externalities,negative health and economic externalities,substantial negative economic impact
,substantial negative economic impact,substantial negative economic impact,substantial negative economic impact,substantial negative economic impact,substantial negative economic impact
k,large impacts in manufacturing,large impacts in manufacturing,large impacts in manufacturing,large impacts in manufacturing,supply chain and manufacturing expertise
,supply chain and manufacturing expertise,supply chain and manufacturing expertise,supply chain and manufacturing expertise,supply chain and manufacturing expertise,supply chain and manufacturing expertise
,supply chain at risk due to transport restrictions,supply chain at risk due to transport restrictions,supply chain at risk due to transport restrictions,supply chain at risk due to transport restrictions,supply chain at risk due to transport restrictions
k,seeking unnecessary care,seeking unnecessary care,seeking unnecessary care,seeking unnecessary care,surges of people seeking medical care
,surges of people seeking medical care,surges of people seeking medical care,surges of people seeking medical care,surges of people seeking medical care,surges of people seeking medical care
,suspicion of asians as carriers of the disease,suspicion of asians as carriers of the disease,suspicion of asians as carriers of the disease,suspicion of asians as carriers of the disease,suspicion of asians as carriers of the disease
,temporarily closing a lucrative new tourist resort,temporarily closing a lucrative new tourist resort,temporarily closing a lucrative new tourist resort,temporarily closing a lucrative new tourist resort,temporarily closing a lucrative new tourist resort
,tension between short-term goals and long-term vision,tension between short-term goals and long-term vision,tension between short-term goals and long-term vision,tension between short-term goals and long-term vision,tension between short-term goals and long-term vision
,tensions,tensions,tensions,tensions,tensions
k,policies to contain sars,policies to contain sars,policies to contain sars,policies to contain sars,the nature of the sars threat
,the nature of the sars threat,the nature of the sars threat,the nature of the sars threat,the nature of the sars threat,the nature of the sars threat
k,effective treatment remains elusive,effective treatment remains elusive,effective treatment remains elusive,effective treatment remains elusive,the spectrum of illness has not been fully evaluated
,the spectrum of illness has not been fully evaluated,the spectrum of illness has not been fully evaluated,the spectrum of illness has not been fully evaluated,the spectrum of illness has not been fully evaluated,the spectrum of illness has not been fully evaluated
,the virus has spread to over 60 countries,the virus has spread to over 60 countries,the virus has spread to over 60 countries,the virus has spread to over 60 countries,the virus has spread to over 60 countries
,their workers have fallen sick or refuse to come to work,their workers have fallen sick or refuse to come to work,their workers have fallen sick or refuse to come to work,their workers have fallen sick or refuse to come to work,their workers have fallen sick or refuse to come to work
k,workforce absences due to long-term school closures,workforce absences due to long-term school closures,workforce absences due to long-term school closures,workforce absences due to long-term school closures,their workers have fallen sick or refuse to come to work
,"they must be clear, simple, timely, and delivered by credible messengers","they must be clear, simple, timely, and delivered by credible messengers","they must be clear, simple, timely, and delivered by credible messengers","they must be clear, simple, timely, and delivered by credible messengers","they must be clear, simple, timely, and delivered by credible messengers"
,third-party service providers are unable to resume work or meet demand,third-party service providers are unable to resume work or meet demand,third-party service providers are unable to resume work or meet demand,third-party service providers are unable to resume work or meet demand,third-party service providers are unable to resume work or meet demand
,"third-party services to be hindered, limited or disabled","third-party services to be hindered, limited or disabled","third-party services to be hindered, limited or disabled","third-party services to be hindered, limited or disabled","third-party services to be hindered, limited or disabled"
,the crisis,this crisis,this crisis,this crisis,this crisis
,this crisis,this crisis,this crisis,this crisis,this crisis
tight border restrictions and quarantines,tight border restrictions,tight border restrictions,tight border restrictions,tight border restrictions and quarantines,tighter quarantine
tight border restrictions and quarantines,tight border restrictions and quarantines,tight border restrictions and quarantines,tight border restrictions and quarantines,tight border restrictions and quarantines,tighter quarantine
tight border restrictions and quarantines,tighter quarantine,tighter quarantine,tighter quarantine,tighter quarantine,tighter quarantine
,tobacco smoking and air pollution,tobacco smoking and air pollution,tobacco smoking and air pollution,tobacco smoking and air pollution,tobacco smoking and air pollution
,trade frictions,trade frictions,trade frictions,trade frictions,trade frictions
,traditional global supply chain structures not equipped to effectively cope with unplanned disruptions,traditional global supply chain structures not equipped to effectively cope with unplanned disruptions,traditional global supply chain structures not equipped to effectively cope with unplanned disruptions,traditional global supply chain structures not equipped to effectively cope with unplanned disruptions,traditional global supply chain structures not equipped to effectively cope with unplanned disruptions
,transmis- sion is widespread,transmis- sion is widespread,transmis- sion is widespread,transmis- sion is widespread,transmis- sion is widespread
,travel ban,travel bans,travel bans,travel bans,travel bans
,travel bans,travel bans,travel bans,travel bans,travel bans
,travel restrictions,travel restrictions,travel bans,travel bans,travel bans
,treatment discontinuation,treatment discontinuation,treatment discontinuation,treatment discontinuation,treatment discontinuation
k,capital outflow rises sharply,capital outflow rises sharply,capital outflow rises sharply,tremendous cash flow pressure,tremendous cash flow pressure
k,distressed financing strategies,distressed financing strategies,distressed financing strategies,distressed financing strategies,tremendous cash flow pressure
,tremendous cash flow pressure,tremendous cash flow pressure,tremendous cash flow pressure,tremendous cash flow pressure,tremendous cash flow pressure
k,difficulty in tracing source of infection,difficulty in tracing source of infection,difficulty in tracing source of infection,difficulty in tracing source of infection,uncertain effects of pandemic
uncertainty over the future course of the epidemic,uncertain effects of pandemic,uncertain effects of pandemic,uncertain effects of pandemic,uncertain effects of pandemic,uncertain effects of pandemic
uncertainty over the future course of the epidemic,uncertainty in outcome of infection,uncertainty in outcome of infection,uncertainty over the future course of the epidemic,uncertainty over the future course of the epidemic,uncertain effects of pandemic
k,uncertainty in routes of infection,uncertainty in routes of infection,uncertainty in routes of infection,difficulty in tracing source of infection,uncertain effects of pandemic
uncertainty over the future course of the epidemic,uncertainty over the future course of the epidemic,uncertainty over the future course of the epidemic,uncertainty over the future course of the epidemic,uncertainty over the future course of the epidemic,uncertain effects of pandemic
,confusion,confusion,uncertainty and confusion,uncertainty and confusion,uncertainty and confusion
,uncertainty,uncertainty,uncertainty,uncertainty and confusion,uncertainty and confusion
,uncertainty and confusion,uncertainty and confusion,uncertainty and confusion,uncertainty and confusion,uncertainty and confusion
uncertainty in the efficacy of therapeutic and preventive measures,uncertainty in the efficacy of preventive measures,uncertainty in the efficacy of preventive measures,uncertainty in the efficacy of preventive measures,uncertainty in the efficacy of therapeutic measures,uncertainty in the efficacy of therapeutic measures
uncertainty in the efficacy of therapeutic and preventive measures,uncertainty in the efficacy of therapeutic measures,uncertainty in the efficacy of therapeutic measures,uncertainty in the efficacy of therapeutic measures,uncertainty in the efficacy of therapeutic measures,uncertainty in the efficacy of therapeutic measures
rise in unemployment,rise in unemployment,rise in unemployment,rise in unemployment,unemployment will increase,unemployment will increase
rise in unemployment,unemployment rate to rise,unemployment rate to rise,unemployment will increase,unemployment will increase,unemployment will increase
rise in unemployment,unemployment will increase,unemployment will increase,unemployment will increase,unemployment will increase,unemployment will increase
,unknown transmission mode at the time of the outbreak,unknown transmission mode at the time of the outbreak,unknown transmission mode at the time of the outbreak,unknown transmission mode at the time of the outbreak,unknown transmission mode at the time of the outbreak
,unknown variables?,unknown variables?,unknown variables?,unknown variables?,unknown variables?
,unlikely cuts to federal reserve bank interest rate,unlikely cuts to federal reserve bank interest rate,unlikely cuts to federal reserve bank interest rate,unlikely cuts to federal reserve bank interest rate,unlikely cuts to federal reserve bank interest rate
,unmet need,unmet need,unmet need,unmet need,unmet need
,unnecessary deaths and avoidable prolonged illness and distress,unnecessary deaths and avoidable prolonged illness and distress,unnecessary deaths and avoidable prolonged illness and distress,unnecessary deaths and avoidable prolonged illness and distress,unnecessary deaths and avoidable prolonged illness and distress
,unrecognized cases,unrecognized cases,unrecognized cases,unrecognized cases,unrecognized cases
,unrest,unrest,unrest,unrest,unrest
,untested crisis incident management,untested crisis incident management,untested crisis incident management,untested crisis incident management,untested crisis incident management
,urgency,urgency,urgency,urgency,urgency
,us dollar depreciation,us dollar depreciation,us dollar depreciation,us dollar depreciation,us dollar depreciation
k,tax impact of legal issues,tax impact of legal issues,tax impact of legal issues,tax impact of legal issues,us tax positions and attributes
,us tax positions and attributes,us tax positions and attributes,us tax positions and attributes,us tax positions and attributes,us tax positions and attributes
variations in health outcomes,vari- ations in health outcomes,vari- ations in health outcomes,vari- ations in health outcomes,vari- ations in health outcomes,vari- ations in health outcomes
,differences,differences,differences,variability,variability
,huge variation,huge variation,huge variation,variability,variability
,variability,variability,variability,variability,variability
,varied,varied,variability,variability,variability
,virus genomes,virus genomes,virus genomes,virus genomes,virus genomes
,wage stickiness,wage stickiness,wage stickiness,wage stickiness,wage stickiness
,warning,warning,warning,warning,warning
,weak evidence,weak evidence,weak evidence,weak evidence,weak evidence
weak institutions and poor preparedness,weak institutions,weak institutions,weak institutions,weak institutions,weak evidence
weak institutions and poor preparedness,weak preparedness,weak preparedness,weak preparedness,weak preparedness,weak evidence
k,"inadequate health systems, preexisting health problems, high population density, and weak government leadership","inadequate health systems, preexisting health problems, high population density, and weak government leadership","inadequate health systems, preexisting health problems, high population density, and weak government leadership","inadequate health systems, preexisting health problems, high population density, and weak government leadership",weak health systems
weak healthcare systems,weak health system capacity,weak health system capacity,weak health systems,weak health systems,weak health systems
weak healthcare systems,weak health systems,weak health systems,weak health systems,weak health systems,weak health systems
weak healthcare systems,weaknesses in health systems,weaknesses in health systems,weak health systems,weak health systems,weak health systems
weak healthcare systems,weaknesses in their health-care infrastructure,weaknesses in their health-care infrastructure,weak health systems,weak health systems,weak health systems
weakened consumer and investor sentiment,declining consumer confidence,declining consumer confidence,declining consumer confidence,declining consumer confidence,weakened consumer sentiment
weakened consumer and investor sentiment,weakened consumer and investor sentiment,weakened consumer and investor sentiment,weakened consumer and investor sentiment,weakened consumer sentiment,weakened consumer sentiment
weakened consumer and investor sentiment,weakened consumer sentiment,weakened consumer sentiment,weakened consumer sentiment,weakened consumer sentiment,weakened consumer sentiment
weakened consumer and investor sentiment,weakened investor sentiment,weakened consumer and investor sentiment,weakened consumer and investor sentiment,weakened consumer sentiment,weakened consumer sentiment
,weakened public health response,weakened public health response,weakened public health response,weakened public health response,weakened public health response
weakened confidence in public health measures,reduction of confidence in public health measures,reduction of confidence in public health measures,reduction of confidence in public health measures,weakens confidence in reported progress made toward health care system goals,weakens confidence in reported progress made toward health care system goals
weakened confidence in public health measures,weakens confidence in reported progress made toward health care system goals,weakens confidence in reported progress made toward health care system goals,weakens confidence in reported progress made toward health care system goals,weakens confidence in reported progress made toward health care system goals,weakens confidence in reported progress made toward health care system goals
k,households income falling below the prevailing poverty line,households income falling below the prevailing poverty line,households income falling below the prevailing poverty line,where incomes are low,where incomes are low
low levels of income,low levels of income,where incomes are low,where incomes are low,where incomes are low,where incomes are low
low levels of income,where incomes are low,where incomes are low,where incomes are low,where incomes are low,where incomes are low
k,global discrepancies,global discrepancies,global discrepancies,wide global discrepancies in outcomes,wide global discrepancies in outcomes
,wide global discrepancies in outcomes,wide global discrepancies in outcomes,wide global discrepancies in outcomes,wide global discrepancies in outcomes,wide global discrepancies in outcomes
,widespread infrastructure breakdown,widespread infrastructure breakdown,widespread infrastructure breakdown,widespread infrastructure breakdown,widespread infrastructure breakdown
,without sustained attention and financing,without sustained attention and financing,without sustained attention and financing,without sustained attention and financing,without sustained attention and financing
,workers working overtime to make up absence from work,workers working overtime to make up absence from work,workers working overtime to make up absence from work,workers working overtime to make up absence from work,workers working overtime to make up absence from work
,working during their regular shifts,working during their regular shifts,working during their regular shifts,working during their regular shifts,working during their regular shifts
,world reduces its consumption,world reduces its consumption,world reduces its consumption,world reduces its consumption,world reduces its consumption
poor health,ill health,ill health,ill health,ill health,worse health outcomes
poor health,poor health,poor health,worse health outcomes,worse health outcomes,worse health outcomes
poor health outcomes,poor health outcomes,poor health outcomes,worse health outcomes,worse health outcomes,worse health outcomes
k,poorly performing public health departments,poorly performing public health departments,poorly performing public health departments,worse health outcomes,worse health outcomes
poor health outcomes,worse health outcomes,worse health outcomes,worse health outcomes,worse health outcomes,worse health outcomes
